word,count
发展,157
建设,85
加强,76
推进,68
经济,65
加快,63
社会,57
提高,50
改革,47
坚持,39
我们,38
促进,38
完善,37
工作,35
政府,34
重点,34
积极,34
实施,33
农村,33
制度,32
继续,32
机制,31
基本,31
人民,30
管理,29
增加,27
投资,27
就业,26
问题,25
文化,24
市场,24
全面,23
国家,23
创新,23
保障,23
政策,23
水平,22
改善,22
实现,21
教育,21
农业,21
推动,21
能力,21
国际,20
扩大,20
我国,19
五年,19
增长,19
体系,19
大力发展,19
合作,19
稳定,19
增强,18
建立,18
企业,18
支持,18
科技,17
服务,17
住房,17
必须,17
规划,16
主要,16
国内,16
大力,16
战略,16
切实,16
目标,15
事业,15
社会主义,15
作用,15
产业,15
亿元,15
保护,15
服务业,15
价格,15
资源,15
全国,14
收入,14
城乡,14
健全,14
更加,14
鼓励,14
群众,14
结构,14
不断,14
基础设施,14
农民,14
解决,14
地区,14
深化,14
加大,14
进一步,14
今年,14
节能,13
协调,13
监管,13
关系,13
体制,13
保持,12
取得,12
城镇,12
发挥,12
重要,12
中国,12
民生,12
引导,12
做好,12
基础,12
制定,12
区域,12
落实,12
标准,12
努力,12
方式,12
生产总值,11
达到,11
生活,11
新增,11
社会保障,11
领域,11
提升,11
世界,11
生产,11
体制改革,11
能源,11
治理,11
试点,11
科学,11
比重,11
确保,11
开放,10
现代化,10
完成,10
任务,10
工程,10
有效,10
应对,10
调整,10
自主,10
消费,10
需求,10
巩固,10
民族,10
优化,10
形成,10
深入,10
转变,10
规范,10
代表,9
重大,9
风险,9
年均,9
维护,9
宏观调控,9
力度,9
投入,9
综合,9
贸易,9
环境,9
共同,9
和谐,9
城市,9
人才,9
分配,9
长期,9
调控,9
建立健全,9
万亿元,8
各项,8
转移,8
安全,8
实行,8
特别,8
规模,8
保障性,8
困难,8
质量,8
一是,8
技术,8
二是,8
控制,8
三是,8
行政,8
条件,8
和平,8
城镇化,8
坚决,8
各位,7
人均,7
覆盖,7
特色,7
范围,7
持续,7
结构调整,7
三农,7
各种,7
最低,7
经济社会,7
财政,7
人员,7
稳妥,7
改造,7
家庭,7
组织,7
方面,7
作为,7
利用,7
十二五,7
十一五,6
时期,6
国民经济,6
挑战,6
各族人民,6
平稳,6
城镇居民,6
改革开放,6
历史,6
结构性,6
支出,6
低收入,6
补贴,6
资金,6
粮食,6
着力,6
人口,6
工业,6
战略性,6
防治,6
有序,6
对外,6
放在,6
劳动,6
养老保险,6
基金,6
纲要,6
义务教育,6
创新能力,6
公共,6
研究,6
成果,6
影响,6
适应,6
预期,6
创造,6
合理,6
依法,6
使用,6
构建,6
地方,6
预算,6
资本,6
农产品,6
现代,6
房地产,6
两岸,6
2011,5
国务院,5
形势,5
一系列,5
变化,5
金融危机,5
国防,5
万人,5
劳动力,5
突破,5
经济体制,5
中华民族,5
注重,5
物价上涨,5
政策措施,5
中央财政,5
超过,5
收购价,5
经济增长,5
效益,5
新兴产业,5
公共服务,5
坚定不移,5
支付,5
转型,5
统一,5
融资,5
人民币,5
国有企业,5
民间,5
对外开放,5
上年,5
减少,5
进一步提高,5
统筹,5
阶段,5
学校,5
提供,5
补助,5
基层,5
强化,5
总量,5
一些,5
道路,5
充分发挥,5
政治,5
信息化,5
更好,5
培育,5
满足,5
环保,5
监督,5
用于,5
抓紧,5
开发,5
金融,5
监测,5
报告,4
冲击,4
逐步,4
地位,4
有力,4
利益,4
充分,4
把握,4
方向,4
以及,4
防止,4
货币政策,4
计划,4
扩大内需,4
城乡居民,4
其中,4
中央,4
减排,4
生态建设,4
恢复,4
累计,4
严格,4
耕地,4
加固,4
一批,4
万公里,4
新建,4
扎实,4
排放,4
生态,4
下降,4
总体,4
主体,4
指导,4
深化改革,4
活力,4
全面实施,4
启动,4
金融机构,4
进展,4
利用外资,4
直接,4
优先,4
位置,4
退休,4
免费,4
专业,4
医疗卫生,4
安排,4
服务体系,4
繁荣,4
机构,4
公开,4
开展,4
领导,4
仍然,4
压力,4
房价,4
一定,4
中心,4
均衡,4
四是,4
程度,4
工业化,4
供给,4
出口,4
新型,4
方针,4
养老,4
左右,4
参与,4
状况,4
资产,4
通胀,4
信贷,4
行业,4
防范,4
居民,4
体育,4
经营,4
权益,4
项目,4
抓好,4
各类,4
责任,4
分开,4
意见,3
面对,3
生产力,3
军队,3
卫生,3
纯收入,3
分别,3
实际,3
去年,3
国家主权,3
外交,3
举办,3
伟大,3
激励,3
以下,3
过快,3
流动性,3
采取,3
正确,3
大规模,3
振兴,3
支撑,3
升级,3
两年,3
灾后,3
重建,3
趋势,3
战胜,3
减轻,3
连续,3
稳步,3
国有,3
小型,3
水库,3
重组,3
装备,3
制造业,3
竞争力,3
明显提高,3
关键,3
明显,3
环境保护,3
行动,3
清洁,3
万千瓦,3
产能,3
工程建设,3
综合治理,3
面积,3
单位,3
功能区,3
西部,3
中西部,3
差距,3
格局,3
内在,3
财力,3
政策性,3
跨境,3
拓展,3
2010,3
步伐,3
全球,3
区域合作,3
先进,3
始终,3
高校,3
最低工资,3
养老金,3
新型农村,3
医药卫生,3
全体,3
中长期,3
涉农,3
学生,3
高等学校,3
全面提高,3
大力加强,3
所县,3
文化产业,3
全民,3
强烈,3
山洪,3
精神,3
新一轮,3
反腐败,3
表示,3
诚挚,3
感谢,3
平衡,3
突出,3
矛盾,3
制约,3
经费支出,3
没有,3
根本,3
涨幅,3
过高,3
违法,3
通过,3
一切,3
处于,3
运用,3
两个,3
大局,3
互动,3
机遇,3
处理,3
真正,3
决策,3
小康社会,3
为主,3
继续加强,3
局面,3
融合,3
气候变化,3
防灾,3
减灾,3
降低,3
中小,3
河流,3
公平,3
同步,3
劳动报酬,3
医保,3
以上,3
计划生育,3
营造,3
平等,3
财税,3
高效,3
成本,3
优势,3
互利,3
权力,3
接受,3
动员,3
预防,3
合法权益,3
居民消费,3
消除,3
财政赤字,3
纳入,3
一般性,3
经费,3
税收,3
多样化,3
储备,3
上涨,3
商品,3
积极开展,3
运输,3
搞好,3
调节,3
执法,3
正常,3
要求,3
旅游,3
知识产权,3
专项,3
稳定增长,3
保证,3
用地,3
多渠道,3
产品,3
创业,3
扶贫开发,3
设施,3
倾斜,3
管理制度,3
尽快,3
健康,3
核心,3
农民工,3
子女,3
租赁,3
大力开展,3
污染,3
应急,3
活动,3
良好,3
研发,3
共享,3
广大,3
事业单位,3
各级,3
遏制,3
相关,3
扶持,3
医疗机构,3
自治,3
交流,3
进口,3
香港,3
澳门,3
祖国,3
两岸关系,3
会议,2
大会,2
审议,2
提出,2
回顾,2
进程,2
平凡,2
国内外,2
复杂,2
推进改革,2
面貌,2
发生,2
综合国力,2
显著,2
体育事业,2
4500,2
支配,2
农村居民,2
重大进展,2
对外贸易,2
总额,2
快速,2
影响力,2
建设性,2
百年,2
这些,2
力量,2
凝聚力,2
针对,2
贸易顺差,2
过剩,2
输入,2
演变成,2
财政政策,2
适度,2
宽松,2
减税,2
战略方针,2
大幅,2
弥补,2
扭转,2
增速,2
率先,2
特殊,2
毫不放松,2
收费,2
主产区,2
补偿,2
品种,2
临时,2
收储,2
小麦,2
40%,2
除险,2
进入,2
一个,2
时代,2
技术改造,2
兼并,2
总体水平,2
急需,2
前沿技术,2
一大批,2
百分点,2
建成,2
2020,2
温室,2
气体,2
4.45,2
水电,2
落后,2
林业,2
23,2
流域,2
水污染,2
大气污染,2
循环,2
能耗,2
颁布实施,2
开发新,2
十年,2
推出,2
西藏,2
新疆,2
跨越式,2
东北地区,2
东部,2
逐步提高,2
初步,2
逐步完善,2
县级,2
保障机制,2
增值税,2
成品油,2
顺利,2
资源税,2
商业银行,2
股份制,2
顺利完成,2
汇率,2
不断扩大,2
国有资产,2
中小企业,2
非公有制,2
多种,2
所有制,2
深度,2
进出口,2
出去,2
亿美元,2
多边,2
双边,2
毕业生,2
城镇职工,2
省级,2
10%,2
医疗保险,2
惠及,2
救助,2
残疾人,2
棚户区,2
万户,2
中等职业,2
助学,2
覆盖面,2
职业,2
乡镇,2
1500,2
医院,2
1000,2
妇幼保健,2
社区卫生,2
哲学,2
社会科学,2
新闻出版,2
广播,2
影视,2
文学艺术,2
进步,2
健身活动,2
法制建设,2
汶川,2
特大,2
