word,count
发展,138
改革,84
推进,74
经济,60
加强,57
建设,51
创新,50
全面,49
中国,40
企业,37
坚持,37
工作,36
提高,36
完善,36
政府,34
增长,33
社会,33
加快,32
推动,31
制度,31
实施,30
支持,30
教育,27
促进,27
深化,27
增加,25
服务,25
政策,25
重大,24
实现,24
基本,24
五年,23
结构,23
人民,22
我国,21
就业,21
我们,21
投资,21
继续,21
优化,20
农村,20
加大,20
扩大,20
国家,20
群众,20
世界,19
领域,19
机制,19
今年,18
取得,18
风险,18
合作,18
社会主义,17
地区,17
深入,17
以上,17
国际,17
供给,17
力度,17
特色,16
着力,16
积极,16
地方,16
体系,16
坚决,16
持续,15
重点,15
保障,15
维护,15
治理,15
降低,14
落实,14
解决,14
习近平,13
保持,13
下降,13
问题,13
管理,13
专项,13
安全,13
监管,13
开放,13
健全,13
文化,13
万亿元,12
创业,12
市场,12
改善,12
质量,12
民生,12
提升,12
水平,12
标准,12
代表,11
制定,11
增强,11
消费,11
互联网,11
主要,11
脱贫,11
合理,11
基础,11
生态,11
中央,11
强化,11
民族,11
保护,11
做好,11
核心,10
党中央,10
协调,10
战略,10
思想,10
城镇,10
农业,10
扶贫,10
形成,10
结构性,10
稳定,10
产能,10
项目,10
新型,10
鼓励,10
产业,10
科技,10
区域,10
城乡,10
开展,10
健康,10
依法,10
范围,10
各位,9
全国,9
改革开放,9
现代化,9
时代,9
历史,9
不断,9
规划,9
经济社会,9
变革,9
年均,9
融资,9
升级,9
作用,9
更加,9
各类,9
建立,9
财政,9
精神,9
过去,8
完成,8
万人,8
转移,8
规模,8
重要,8
主体,8
活力,8
减少,8
增速,8
扎实,8
环境,8
举措,8
大幅,8
市场化,8
制造,8
发挥,8
有效,8
综合,8
医疗,8
监督,8
进一步,8
贯彻,8
意见,7
行动,7
国内,7
左右,7
人口,7
成为,7
多万,7
支付,7
生活,7
攻坚,7
任务,7
宏观调控,7
亿元,7
债务,7
资金,7
培育,7
压减,7
设立,7
审批,7
一批,7
试点,7
贫困地区,7
乡村,7
活动,7
大力,7
贸易,7
国务院,6
统筹,6
局面,6
建成,6
意识,6
成就,6
生产总值,6
比重,6
30%,6
价格,6
新增,6
成果,6
投入,6
网络,6
动能,6
重塑,6
方式,6
进展,6
转变,6
收入,6
最大,6
预期,6
住房,6
改造,6
成效,6
工业,6
结果,6
明显,6
动力,6
收费,6
规范,6
金融,6
依靠,6
得到,6
实行,6
工程,6
业态,6
融合,6
协同,6
公共服务,6
技术,6
构建,6
责任,6
养老,6
基金,6
取消,6
特别,6
有力,6
平衡,6
振兴,6
革命,6
有序,6
困难,6
人员,6
作为,6
激励,6
领导,6
强军,6
领导人,6
高质量,6
更好,6
倾斜,6
平等,6
会议,5
同志,5
决胜,5
小康社会,5
政治,5
发生,5
超过,5
大国,5
共享,5
引领,5
生产,5
结合,5
政府职能,5
一带,5
一路,5
生态环境,5
防治,5
城市,5
目标,5
效益,5
全方位,5
调控,5
精准,5
采取,5
适度,5
巩固,5
小微,5
市场主体,5
负担,5
货币,5
平均,5
防范,5
化解,5
壮大,5
淘汰,5
行业,5
指导,5
模式,5
引导,5
全球,5
转向,5
带动,5
行政,5
时间,5
公开,5
激发,5
机构,5
体制,5
统一,5
启动,5
医保,5
居民,5
残疾人,5
和谐,5
整治,5
突出,5
宗教,5
组织,5
军队,5
交流,5
香港,5
一个,5
两岸,5
外交,5
命运,5
充分,5
关键,5
各级,5
确保,5
人才,5
提供,5
设施,5
多渠道,5
儿童,5
2018,4
报告,4
团结,4
各族人民,4
四个,4
布局,4
十九,4
制造业,4
粮食,4
达到,4
驱动,4
移动,4
格局,4
深刻,4
创造力,4
贫困人口,4
居民收入,4
事业,4
养老保险,4
覆盖,4
人均,4
排放量,4
污染,4
一半,4
面积,4
土地,4
失业率,4
以下,4
区间,4
稳中,4
把握,4
惠民,4
当前,4
长期,4
货币政策,4
情况,4
减税,4
清理,4
各种,4
措施,4
调整,4
财政支出,4
财政赤字,4
控制,4
3%,4
各项,4
汇率,4
人民币,4
应对,4
为主,4
大力发展,4
新兴产业,4
钢铁,4
煤炭,4
安排,4
用于,4
职工,4
安置,4
稳妥,4
总体,4
电信,4
深入开展,4
智能,4
出台,4
民间,4
万公里,4
新建,4
破除,4
要素,4
直接,4
注重,4
事项,4
效能,4
推行,4
政务,4
营商,4
办事,4
显著,4
高校,4
竞争力,4
创新型,4
重组,4
去年,4
能源,4
支出,4
金融机构,4
金融监管,4
稳步,4
部分,4
文明,4
清单,4
债券,4
自身,4
全面实施,4
学生,4
家庭,4
大病,4
全民,4
排放,4
法律,4
力量,4
内地,4
澳门,4
繁荣,4
和平,4
峰会,4
共同体,4
科学,4
各国,4
一些,4
不够,4
法治,4
一定,4
要求,4
一年,4
攻坚战,4
优势,4
公平,4
农民工,4
中西部,4
优先,4
拓展,4
汽车,4
优惠政策,4
体制改革,4
通过,4
关系,4
企业家,4
产权,4
纳入,4
严格,4
接受,4
中华民族,4
国防,4
提出,3
进程,3
面对,3
国内外,3
确立,3
地位,3
部门,3
贯彻落实,3
理念,3
历史性,3
贡献率,3
比较,3
服务业,3
8000,3
研发,3
大众,3
万众,3
崛起,3
迈出,3
步伐,3
突破,3
逐步,3
缩减,3
2000,3
绿色,3
利润,3
态势,3
进出口,3
实际,3
新高,3
这是,3
方面,3
稳中求进,3
基调,3
经济运行,3
金融市场,3
保护主义,3
矛盾,3
下行,3
压力,3
明确,3
高速,3
基本面,3
稳健,3
较大,3
后劲,3
率先,3
推开,3
征收,3
税收,3
减轻,3
以内,3
信贷,3
贷款,3
差别化,3
底线,3
传统产业,3
效率,3
中央财政,3
亿吨,3
杠杆,3
削减,3
中央政府,3
比例,3
数据,3
先进,3
现代,3
经营,3
三分之二,3
新一轮,3
出口,3
没有,3
配置,3
缩短,3
随机,3
及时,3
整体,3
改进,3
经费,3
北京,3
上海,3
中心,3
示范区,3
国有企业,3
铁路,3
放宽,3
市场准入,3
划分,3
一般性,3
放开,3
义务教育,3
国有资本,3
药品,3
农产品,3
绩效,3
省级,3
环保,3
管理制度,3
倡导,3
共建,3
试验区,3
全部,3
外商投资,3
城镇化,3
西部,3
限制,3
多亿元,3
计划,3
一流,3
受益,3
劳动,3
补助,3
就医,3
分级,3
养老金,3
低保,3
救助,3
基层,3
公共,3
百分点,3
修复,3
违法,3
问责,3
食品药品,3
全程,3
负责,3
防控,3
违法犯罪,3
反腐败,3
斗争,3
实践,3
学习,3
纠正,3
严控,3
海外侨胞,3
作出,3
贡献,3
各方,3
30,3
军民,3
深度,3
宪法,3
原则,3
论坛,3
国家主权,3
挑战,3
很多,3
表示,3
诚挚,3
感谢,3
同胞,3
关心,3
隐患,3
40,3
周年,3
变化,3
及其,3
需要,3
能力,3
条件,3
阶段,3
指标,3
空间,3
实体,3
一切,3
平稳,3
解放,3
应用,3
体育,3
运用,3
宽带,3
强国,3
新能源,3
创建,3
达标,3
3000,3
处置,3
决不允许,3
信息,3
研究,3
高标准,3
赋予,3
探索,3
抓紧,3
资源,3
打造,3
公司,3
高效,3
民营企业,3
机会,3
认真,3
导向,3
